Designator,Mid X,Mid Y,Rotation,Layer
D1_2,129.335963,-107.209932,90.0,top
D1,129.31875,-97.7225,90.0,top
F1_2,127.135963,-106.309932,90.0,top
F1,127.11875,-96.8225,90.0,top
FB1_2,132.735963,-102.009932,270.0,top
FB1,132.71875,-92.5225,270.0,top
J1_2,139.117213,-98.687432,180.0,top
J1,139.1,-89.2,180.0,top
J2_2,122.017213,-105.722432,0.0,top
J2,122.0,-96.235,0.0,top
R1_2,132.035963,-106.809932,90.0,top
R1,132.01875,-97.3225,90.0,top
R2_2,130.835963,-106.809932,270.0,top
R2,130.81875,-97.3225,270.0,top
U1_2,127.435963,-102.309932,0.0,top
U1,127.41875,-92.8225,0.0,top
